work_date,week_start,month,shift,department,orders_picked,accurate_orders,units_picked,labor_hours,quality_defects,safety_incidents
2025-01-01,2024-12-30,2025-01,Day,Inbound,2552,2532,8165,79.4,26,0
2025-01-01,2024-12-30,2025-01,Night,Inbound,3040,3006,9727,111.8,37,0
2025-01-01,2024-12-30,2025-01,Day,Pick,2909,2896,9309,80.0,41,0
2025-01-01,2024-12-30,2025-01,Night,Pick,3560,3517,11393,104.9,38,0
2025-01-01,2024-12-30,2025-01,Day,Pack,3358,3349,10746,85.8,26,0
2025-01-01,2024-12-30,2025-01,Night,Pack,2752,2746,8807,75.3,18,0
2025-01-01,2024-12-30,2025-01,Day,Ship,3297,3273,10550,102.1,36,0
2025-01-01,2024-12-30,2025-01,Night,Ship,3086,3075,9875,89.8,28,0
2025-01-01,2024-12-30,2025-01,Day,Returns,2428,2375,7770,115.2,77,0
2025-01-01,2024-12-30,2025-01,Night,Returns,1890,1855,6048,104.1,46,0
2025-01-02,2024-12-30,2025-01,Day,Inbound,3081,3069,9859,119.0,43,0
2025-01-02,2024-12-30,2025-01,Night,Inbound,3658,3625,11704,126.4,48,0
2025-01-02,2024-12-30,2025-01,Day,Pick,3368,3357,10779,89.3,32,0
2025-01-02,2024-12-30,2025-01,Night,Pick,3714,3697,11885,124.0,44,0
2025-01-02,2024-12-30,2025-01,Day,Pack,4228,4223,13528,101.9,42,0
2025-01-02,2024-12-30,2025-01,Night,Pack,2734,2716,8748,67.2,16,0
2025-01-02,2024-12-30,2025-01,Day,Ship,2978,2975,9528,77.8,23,0
2025-01-02,2024-12-30,2025-01,Night,Ship,2291,2279,7332,79.9,18,0
2025-01-02,2024-12-30,2025-01,Day,Returns,2692,2644,8615,113.8,75,0
2025-01-02,2024-12-30,2025-01,Night,Returns,1334,1309,4268,67.8,56,0
2025-01-03,2024-12-30,2025-01,Day,Inbound,2378,2346,7609,74.1,24,0
2025-01-03,2024-12-30,2025-01,Night,Inbound,2398,2387,7673,98.3,21,0
2025-01-03,2024-12-30,2025-01,Day,Pick,3904,3861,12492,110.1,31,0
2025-01-03,2024-12-30,2025-01,Night,Pick,3849,3831,12318,104.9,29,1
2025-01-03,2024-12-30,2025-01,Day,Pack,4517,4486,14455,103.8,27,0
2025-01-03,2024-12-30,2025-01,Night,Pack,3458,3427,11064,92.8,35,0
2025-01-03,2024-12-30,2025-01,Day,Ship,2812,2788,8997,86.4,29,0
2025-01-03,2024-12-30,2025-01,Night,Ship,2916,2882,9331,90.7,28,0
2025-01-03,2024-12-30,2025-01,Day,Returns,2790,2743,8929,119.6,94,0
2025-01-03,2024-12-30,2025-01,Night,Returns,1266,1250,4051,67.1,27,0
2025-01-04,2024-12-30,2025-01,Day,Inbound,1691,1675,5410,62.1,21,0
2025-01-04,2024-12-30,2025-01,Night,Inbound,1568,1553,5019,58.3,22,0
2025-01-04,2024-12-30,2025-01,Day,Pick,2271,2262,7266,66.8,26,0
